No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
63,BBKP,Bank KB Bukopin Tbk.,10 Jul 2006,185.819.884.852,Utama
64,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan
65,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Pengembangan
66,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama
67,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama
68,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,8.479.490.328,Pengembangan
69,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama
70,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama
71,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama
72,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,17.926.071.041,Pengembangan
73,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,Pengembangan
74,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.675.817.341,Utama
75,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,51.351.733.883,Pemantauan Khusus
76,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,Utama
77,BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.967.115.620,Utama
78,BGTG,Bank Ganesha Tbk.,12 Mei 2016,23.731.287.132,Pengembangan
79,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,86.068.156.705,Pemantauan Khusus
80,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,Pemantauan Khusus
81,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,608.175.716,Pengembangan
82,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,6.073.369.498,Utama
83,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,63.710.196.917,Pengembangan
84,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.376,Pemantauan Khusus
85,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,Utama
86,BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,Utama
87,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,10.416.229.249,Utama
88,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.865.343.101,Utama
89,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,7.513.992.252,Pemantauan Khusus
90,BKSL,Sentul City Tbk.,28 Jul 1997,167.708.902.705,Pemantauan Khusus
91,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,34.953.681.505,Pengembangan
92,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,25.940.187.103,Pemantauan Khusus
93,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,873.937.142,Pemantauan Khusus
94,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,17.921.635.680,Pemantauan Khusus
95,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,92.399.999.996,Utama
96,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,Pengembangan
97,BMTR,Global Mediacom Tbk.,17 Jul 1995,16.583.997.586,Utama
98,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,3.354.120.000,Pengembangan
99,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,160.057.457.509,Pemantauan Khusus
100,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.890.783.784,Utama
101,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,Utama
102,BNLI,Bank Permata Tbk.,15 Jan 1990,35.819.545.925,Pengembangan
103,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,2.343.750.000,Pengembangan
104,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,2.673.995.362,Pengembangan
105,BPII,Batavia Prosperindo Internasio,08 Jul 2014,10.309.973.240,Pengembangan
106,BRAM,Indo Kordsa Tbk.,05 Sep 1990,450.056.980,Pengembangan
107,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,141.784.040.338,Utama
108,BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,Pemantauan Khusus
109,BRPT,Barito Pacific Tbk.,01 Okt 1993,93.747.218.044,Utama
110,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,21.171.365.812,Utama
111,BSIM,Bank Sinarmas Tbk.,13 Des 2010,19.517.921.842,Utama
112,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,2.616.500.000,Pengembangan
113,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,3.651.978.177,Pemantauan Khusus
114,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,Pemantauan Khusus
115,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,36.822.665.755,Pemantauan Khusus
116,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,Pemantauan Khusus
117,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,10.536.203.690,Utama
118,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4.498.997.362,Utama
119,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,Pengembangan
120,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,14.117.801.449,Pengembangan
121,BUMI,Bumi Resources Tbk.,30 Jul 1990,371.320.723.144,Utama
122,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,20.590.473.213,Pengembangan
123,BVIC,Bank Victoria International Tb,30 Jun 1999,15.690.049.207,Utama
124,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31.525.291.000,Utama
125,BYAN,Bayan Resources Tbk.,12 Agt 2008,33.333.335.000,Utama
126,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,833.440.000,Pemantauan Khusus
127,CASS,Cardig Aero Services Tbk.,05 Des 2011,2.086.950.000,Utama
128,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595.000.000,Pengembangan
129,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,Pemantauan Khusus
130,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,3.984.520.457,Utama
131,CINT,Chitose Internasional Tbk.,27 Jun 2014,1.000.000.000,Pengembangan
132,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.960.361.250,Pemantauan Khusus
133,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,Pengembangan
134,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,5.437.498.079,Utama
135,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,Pemantauan Khusus
136,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,8.956.361.206,Pemantauan Khusus
137,CNTX,Century Textile Industry Tbk.,22 Mei 1979,70.000.000,Pemantauan Khusus
138,COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,Pemantauan Khusus
139,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16.398.000.000,Utama
140,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,59.572.382.787,Pengembangan
141,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,5.683.175.151,Pengembangan
142,CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,Pemantauan Khusus
143,CTRA,Ciputra Development Tbk.,28 Mar 1994,18.535.695.255,Utama
144,CTTH,Citatah Tbk.,03 Jul 1996,1.230.839.821,Pemantauan Khusus
145,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,Pengembangan
146,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,687.266.666,Pemantauan Khusus
147,DEWA,Darma Henwa Tbk,26 Sep 2007,21.853.733.792,Utama
148,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,Pengembangan
149,DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,Utama
150,DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,Pengembangan
151,DLTA,Delta Djakarta Tbk.,27 Feb 1984,800.659.050,Utama
152,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,Utama
153,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,16.867.292.274,Pengembangan
154,DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,Pengembangan
155,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,7.651.007.132,Utama
156,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331.129.952,Pengembangan
157,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,1.857.135.500,Pengembangan
158,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,10.599.842.400,Utama
159,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,7.705.523.200,Utama
160,DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,Pemantauan Khusus
161,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,1.120.000.000,Pengembangan
162,DYAN,Dyandra Media International Tb,25 Mar 2013,4.272.964.279,Pengembangan
163,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,1.334.333.000,Pengembangan
164,EKAD,Ekadharma International Tbk.,14 Agt 1990,3.493.875.000,Pengembangan
165,ELSA,Elnusa Tbk.,06 Feb 2008,7.298.500.000,Utama
166,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,Pemantauan Khusus
167,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,Pengembangan
168,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,61.316.751.483,Utama
169,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,24.821.230.250,Utama
170,EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,2.708.640.000,Pengembangan
171,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,15.950.000.000,Utama
172,ERTX,Eratex Djaja Tbk.,21 Agt 1990,1.286.539.792,Pengembangan
173,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,17.226.975.700,Utama
174,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2.015.208.720,Pemantauan Khusus
175,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,4.668.671.400,Pemantauan Khusus
176,EXCL,XL Axiata Tbk.,29 Sep 2005,13.128.430.665,Utama
177,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,3.990.277.158,Pengembangan
178,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,2.477.888.787,Pemantauan Khusus
179,FISH,FKS Multi Agro Tbk.,18 Jan 2002,480.000.000,Pemantauan Khusus
180,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,6.400.000.000,Pengembangan
181,FORU,Fortune Indonesia Tbk,17 Jan 2002,465.224.000,Pengembangan
182,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,Pengembangan
183,FREN,Smartfren Telecom Tbk.,29 Nov 2006,476.703.803.436,Pemantauan Khusus
184,GAMA,Aksara Global Development Tbk.,11 Jul 2012,10.011.027.656,Pemantauan Khusus
185,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,Pengembangan
186,GDYR,Goodyear Indonesia Tbk.,22 Des 1980,410.000.000,Pengembangan
187,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,1.600.000.000,Pengembangan
188,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,5.882.353.000,Utama
189,GGRM,Gudang Garam Tbk.,27 Agt 1990,1.924.088.000,Utama
190,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,91.480.783.837,Pemantauan Khusus
191,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3.484.800.000,Utama
192,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,1.111.112.000,Pemantauan Khusus
193,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,1.015.380.000,Pengembangan
194,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,1.277.276.000,Pengembangan
195,GOLL,Golden Plantation Tbk.,23 Des 2014,3.665.000.759,Pemantauan Khusus
196,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,Pengembangan
197,GSMF,Equity Development Investment ,23 Okt 1989,14.230.399.705,Pengembangan
198,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,2.500.000.000,Pengembangan
199,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7.800.760.000,Utama
200,GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,Pengembangan
201,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,Pemantauan Khusus
202,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6.542.445.783,Pengembangan
203,HDTX,Panasia Indo Resources Tbk.,06 Jun 1990,3.601.462.800,Pemantauan Khusus
204,HERO,Hero Supermarket Tbk.,21 Agt 1989,4.183.634.000,Pengembangan
205,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,840.000.000,Utama
206,HITS,Humpuss Intermoda Transportasi,15 Des 1997,7.101.084.801,Utama
207,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,116.318.076.900,Pengembangan
208,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,22.212.194.782,Pemantauan Khusus
209,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,Pemantauan Khusus
210,HRUM,Harum Energy Tbk.,06 Okt 2010,13.518.100.000,Utama
211,IATA,MNC Energy Investments Tbk.,13 Sep 2006,25.238.245.486,Pemantauan Khusus
212,IBFN,Intan Baru Prana Tbk.,22 Des 2014,1.517.332.349,Pemantauan Khusus
213,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,1.350.904.927,Pemantauan Khusus
214,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,Utama
215,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,Pemantauan Khusus
216,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,972.204.500,Pengembangan
217,IIKP,Inti Agri Resources Tbk,14 Okt 2002,33.600.000.000,Pemantauan Khusus
218,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,13.305.799.387,Pemantauan Khusus
219,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,Pengembangan
220,IMAS,Indomobil Sukses Internasional,15 Nov 1993,3.994.291.039,Utama
221,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,8.654.325.000,Pengembangan
222,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,54.268.500.000,Utama
223,INAF,Indofarma Tbk.,17 Apr 2001,3.099.267.500,Pemantauan Khusus
224,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,Pengembangan
225,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,207.656.617,Pengembangan
226,INCO,Vale Indonesia Tbk.,16 Mei 1990,10.539.784.534,Utama
227,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,Utama
228,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,654.351.707,Pengembangan
229,INDS,Indospring Tbk.,10 Agt 1990,6.562.497.100,Pengembangan
230,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan
231,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,Utama
232,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,Utama
233,INPC,Bank Artha Graha Internasional,23 Agt 1990,20.021.178.779,Utama
234,INPP,Indonesian Paradise Property T,12 Jan 2004,11.181.971.732,Pengembangan
235,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,Pengembangan
236,INTA,Intraco Penta Tbk.,23 Agt 1993,3.343.935.022,Pemantauan Khusus
237,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,Pengembangan
238,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.681.231.699,Utama
239,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,Pengembangan
240,ISAT,Indosat Tbk.,19 Okt 1994,32.250.810.957,Utama
241,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,Utama
242,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,999.053.167,Pengembangan
243,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,Utama
244,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,16.232.951.842,Pengembangan
245,JECC,Jembo Cable Company Tbk.,18 Nov 1992,756.000.000,Pengembangan
246,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,Pengembangan
247,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama
248,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Agt 1997,150.000.000,Pemantauan Khusus
249,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,Utama
250,JRPT,Jaya Real Property Tbk.,29 Jun 1994,13.750.000.000,Pengembangan
251,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama
252,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,Pengembangan
253,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,6.852.050.000,Utama
254,KAEF,Kimia Farma Tbk.,04 Jul 2001,5.566.584.590,Pengembangan
255,KARW,Meratus Jasa Prima Tbk.,20 Des 1994,587.152.700,Pemantauan Khusus
256,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,4.007.235.107,Utama
257,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan
258,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pemantauan Khusus
259,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,Pemantauan Khusus
260,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,405.000.000,Pemantauan Khusus
261,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pemantauan Khusus
262,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,Pengembangan
263,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama
264,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,5.000.000.000,Utama
265,KLBF,Kalbe Farma Tbk.,30 Jul 1991,46.875.122.110,Utama
266,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Pengembangan
267,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pemantauan Khusus
268,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,312.000.000,Pengembangan
269,KOPI,Mitra Energi Persada Tbk.,04 Mei 2015,697.266.668,Pengembangan
270,KPIG,MNC Land Tbk.,30 Mar 2000,97.557.129.263,Pengembangan
271,KRAH,Grand Kartech Tbk.,08 Nov 2013,971.190.000,Pemantauan Khusus
272,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Pengembangan
273,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,18.208.470.100,Pemantauan Khusus
274,LAPD,Leyand International Tbk.,17 Jul 2001,3.966.350.139,Pemantauan Khusus
275,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pemantauan Khusus
276,LEAD,Logindo Samudramakmur Tbk.,11 Des 2013,4.049.616.328,Pengembangan
277,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Pengembangan
278,LION,Lion Metal Works Tbk.,20 Agt 1993,520.160.000,Pemantauan Khusus
279,LMAS,Limas Indonesia Makmur Tbk,28 Des 2001,787.851.525,Pemantauan Khusus
280,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,Pengembangan
281,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pemantauan Khusus
282,LPCK,Lippo Cikarang Tbk,24 Jul 1997,2.679.600.000,Utama
283,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,3.000.000.000,Pengembangan
284,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan
285,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama
286,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan
287,LPPF,Matahari Department Store Tbk.,09 Okt 1989,2.259.292.880,Utama
288,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
289,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan
290,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,6.819.963.965,Utama
291,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama
292,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,9.000.000.004,Pemantauan Khusus
293,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,2.238.750.000,Utama
294,MAMI,Mas Murni Indonesia Tbk,09 Feb 1994,12.299.317.590,Pemantauan Khusus
295,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama
296,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,9.182.946.945,Pemantauan Khusus
297,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,25.906.179.152,Utama
298,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,1.227.271.952,Pengembangan
299,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,1.750.026.639,Utama
300,MBTO,Martina Berto Tbk.,13 Jan 2011,1.070.000.000,Pengembangan
301,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
302,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,Pemantauan Khusus
